"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,filtroseleccion,,text,"Record ID",,,,,,,,,,,,,
filtro,filtroseleccion,,descriptive,,,,,,,,,,,,,,
filtroa,filtroseleccion,<h2><center>¡BIENVENIDOS!</center></h2>,radio,"¿Usted es trabajador de salud de la primera línea de atención COVID-19 en el Perú?","1, Sí | 0, No",,,,,,,y,LH,,,,
no_btnsubmit,filtroseleccion,,descriptive,"<center><div style=""width:20%; color:#ffff; background-color:#82212A; padding:1px; position:relative; left: -35px; border-radius: 12px""><font size=1px>¡Dale click al botón Submit, para continuar!</div></center>",,,,,,,"[filtroa]='1' or [filtroa]='0'",,,,,,
no_encabezado,primer_instrumento,,descriptive,,,,,,,,,,,,,,
con_inf,primer_instrumento,"<div style=""background-color:#ffff; color:#595754; margin: 1px; position: center;  padding: 65px;""><center><h3><strong>CONSENTIMIENTO INFORMADO</strong></h3> </center>

<h5><strong>Estimado participante:</strong></h5> 
<h6 align=""justify"">Antes de comenzar es necesario que usted exprese su consentimiento para participar en la investigación. 

<strong>El objetivo </strong>de la investigación es conocer el estado psicológico de los trabajadores de salud de primera línea en el tratamiento de las personas afectadas por el <strong>COVID-19</strong>, a través de una encuesta <strong>anónima</strong>.

En la encuesta se formulan preguntas sobre datos personales generales y sobre experiencias en relación con su trabajo en la <strong>atención de la pandemia</strong>. 

La participación es <strong>voluntaria,</strong> tiene una duración aproximada de veinte minutos  y puede usted detener la encuesta cuando lo desee sin ningún perjuicio para usted. 

Le rogamos la mayor sinceridad para responder. La investigación ha sido aprobada por el Comité Institucional de Ética de Investigación. 

Si tiene alguna interrogante sobre la investigación puede contactarse con el equipo del <strong> Instituto Nacional de Salud Mental</strong> al correo: <a href=""mailto:oeaide@yahoo.com? Subject=Interesado%20en%20el%20curso""><FONT SIZE=4>oeaide@yahoo.com</FONT></a></h6></div>",radio,"Si está de acuerdo en participar, por favor haga clic en Sí, acepto.
<div style=""position: relative; background-color:#ffff; top:60px ; left: 683px ; width:30px; height:20px""></div>","1, Sí, acepto | 0, No acepto",,,,,,,y,LH,,,,
no_btn1,primer_instrumento,,descriptive,"<center><div style=""width:20%; color:#ffff; background-color:#82212A; padding:1px; position:relative; left: -35px; border-radius: 12px""><font size=1px>¡Dale click al botón Submit, para continuar!</div></center>",,,,,,,"[con_inf]='1' or [con_inf]='0'",,,,,,
inicio,segundo_bloque,"I. LOCALIZACIÓN DE LA RESIDENCIA, EL ESTABLECIMIENTO DE SALUD  Y CONDICIONES DE PRESTACIÓN LABORAL",text,Día/hora:,,,datetime_seconds_dmy,,,,,,,,,," @HIDDEN-SURVEY @NOW"
no_et1,segundo_bloque,,descriptive,"1.  Localización geográfica de la residencia y del establecimiento de salud

<div style=""position:relative; left:20px"">1a. Ubicación geográfica de la residencia</div>",,,,,,,,,,,,,
dep,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Región: </div>","010000, AMAZONAS | 020000, ANCASH | 030000, APURIMAC | 040000, AREQUIPA | 050000, AYACUCHO | 060000, CAJAMARCA | 070000, CALLAO | 080000, CUSCO | 090000, HUANCAVELICA | 100000, HUANUCO | 110000, ICA | 120000, JUNIN | 130000, LA LIBERTAD | 140000, LAMBAYEQUE | 150000, LIMA | 160000, LORETO | 170000, MADRE DE DIOS | 180000, MOQUEGUA | 190000, PASCO | 200000, PIURA | 210000, PUNO | 220000, SAN MARTIN | 230000, TACNA | 240000, TUMBES | 250000, UCAYALI",,,,,,,y,,,,,
